ID;BUILDING TYPE;DEM (m);DSM (s);BUILDING HEIGHT (m);FOOTPRINT AREA (m2);FLOOR AREA (m2);;Floor height (m);3.6;m
1.00;hospital;3.81;15.11;11.30;9698.91;30434.51;;Total floor area in Miami;6.44E+07;m2
2.00;apartments;0.10;34.77;34.67;3642.97;35085.21;;Domestic floor area;5.91E+07;m2
3.00;retail;1.40;9.36;7.95;515.25;1138.30;;No-domestic floor area;5.35E+06;m2
4.00;yes;2.80;12.00;9.20;1741.77;4453.10;;;;
5.00;yes;1.02;14.91;13.88;6859.24;26454.33;;;;
6.00;yes;3.11;11.57;8.46;479.29;1126.11;;;;
7.00;yes;6.88;15.46;8.58;1094.15;2607.06;;;;
8.00;yes;3.20;10.73;7.53;1279.66;2676.47;;;;
9.00;yes;4.89;13.09;8.20;2892.02;6590.87;;;;
10.00;yes;2.53;12.65;10.13;1441.10;4054.78;;;;
11.00;yes;2.04;11.54;9.50;1084.83;2864.06;;;;
12.00;yes;2.55;9.84;7.29;1944.12;3936.47;;;;
13.00;yes;3.13;17.98;14.85;9724.57;40122.91;;;;
14.00;yes;3.68;14.21;10.54;944.70;2764.81;;;;
15.00;apartments;6.99;11.24;4.25;2264.91;2674.88;;;;
16.00;yes;2.35;10.77;8.42;1602.59;3750.16;;;;
17.00;yes;0.81;7.65;6.84;7374.10;14010.99;;;;
18.00;apartments;4.12;13.00;8.88;5451.71;13445.98;;;;
19.00;yes;2.50;12.17;9.67;1261.13;3386.64;;;;
20.00;yes;3.98;10.99;7.01;644.30;1255.22;;;;
21.00;yes;1.88;10.58;8.70;7482.71;18085.77;;;;
22.00;house;2.53;9.05;6.53;438.64;795.19;;;;
23.00;yes;0.10;8.00;7.90;403.90;886.78;;;;
24.00;yes;0.60;8.70;8.10;308.24;693.63;;;;
25.00;yes;0.46;31.35;30.89;19822.56;170103.86;;;;
26.00;yes;2.37;10.91;8.54;302.21;717.13;;;;
27.00;yes;2.53;15.75;13.22;5097.40;18724.38;;;;
28.00;apartments;0.00;8.14;8.14;2241.40;5066.78;;;;
29.00;yes;0.41;8.56;8.16;969.84;2197.72;;;;
30.00;yes;3.23;16.75;13.52;18712.44;70299.31;;;;
31.00;yes;5.07;17.99;12.92;395.49;1419.01;;;;
32.00;apartments;1.23;31.82;30.59;2765.66;23500.70;;;;
33.00;yes;0.41;10.00;9.58;1586.45;4223.65;;;;
34.00;residential;2.16;8.52;6.36;3822.82;6757.02;;;;
35.00;yes;4.42;18.53;14.11;422.14;1654.01;;;;
36.00;yes;2.57;11.00;8.43;725.07;1697.22;;;;
37.00;retail;1.21;12.58;11.37;3772.63;11915.44;;;;
38.00;yes;1.68;11.61;9.93;1213.36;3345.92;;;;
39.00;yes;3.73;12.00;8.27;409.96;941.81;;;;
40.00;yes;3.94;12.47;8.53;138.87;329.23;;;;
41.00;yes;0.17;6.87;6.70;458.73;854.06;;;;
42.00;hospital;1.06;15.15;14.10;3804.87;14900.74;;;;
43.00;yes;2.83;11.90;9.07;258.03;649.77;;;;
44.00;yes;2.23;12.38;10.15;392.88;1107.51;;;;
45.00;yes;2.62;10.23;7.62;266.51;564.02;;;;
46.00;yes;4.28;8.00;3.71;270.52;279.05;;;;
47.00;yes;2.37;10.87;8.50;201.26;475.36;;;;
48.00;apartments;5.45;16.66;11.22;303.55;945.90;;;;
49.00;yes;4.09;13.60;9.51;225.51;595.52;;;;
50.00;yes;2.86;10.54;7.68;338.05;721.26;;;;
51.00;yes;1.77;9.63;7.86;500.86;1093.72;;;;
52.00;yes;0.61;9.13;8.53;158.31;374.95;;;;
53.00;yes;5.53;9.93;4.40;180.40;220.39;;;;
54.00;yes;4.41;12.66;8.25;219.41;502.99;;;;
55.00;yes;2.16;10.86;8.70;104.57;252.59;;;;
56.00;yes;2.45;8.95;6.51;153.03;276.55;;;;
57.00;yes;4.13;11.00;6.87;250.46;477.90;;;;
58.00;yes;4.24;14.05;9.81;194.56;529.99;;;;
59.00;yes;3.14;9.90;6.75;231.37;434.03;;;;
60.00;yes;4.03;12.00;7.97;2598.72;5752.04;;;;
61.00;yes;2.62;10.30;7.69;2564.67;5475.17;;;;
62.00;yes;0.73;7.84;7.10;123.66;243.95;;;;
63.00;yes;3.49;13.52;10.02;523.92;1458.87;;;;
64.00;yes;1.77;9.73;7.96;191.98;424.54;;;;
65.00;yes;6.89;11.14;4.25;205.75;242.88;;;;
66.00;yes;1.56;11.00;9.44;204.67;536.44;;;;
67.00;yes;2.61;13.27;10.67;157.42;466.45;;;;
68.00;yes;4.13;10.20;6.07;191.48;323.04;;;;
69.00;yes;2.54;12.72;10.19;422.15;1194.74;;;;
70.00;yes;1.03;9.56;8.53;359.02;851.16;;;;
71.00;yes;1.19;10.49;9.29;221.06;570.66;;;;
72.00;yes;4.13;10.98;6.85;273.35;520.40;;;;
73.00;yes;1.04;10.75;9.71;309.13;833.95;;;;
74.00;yes;2.26;12.93;10.67;389.50;1154.56;;;;
75.00;yes;2.61;9.42;6.81;437.73;827.45;;;;
76.00;yes;2.33;10.90;8.57;389.29;926.46;;;;
77.00;yes;3.10;10.83;7.72;309.02;662.83;;;;
78.00;yes;3.32;10.60;7.28;491.57;994.23;;;;
79.00;yes;1.54;9.00;7.45;186.76;386.73;;;;
80.00;yes;1.50;9.21;7.71;1137.71;2436.39;;;;
81.00;yes;1.14;8.35;7.21;696.82;1395.75;;;;
82.00;yes;2.24;9.00;6.76;288.14;540.77;;;;
83.00;yes;0.13;10.43;10.30;967.21;2766.31;;;;
84.00;yes;5.06;13.89;8.83;481.33;1180.22;;;;
85.00;yes;2.24;11.47;9.24;214.96;551.50;;;;
86.00;yes;0.06;9.51;9.44;2356.27;6181.30;;;;
87.00;roof;0.10;12.77;12.67;267.19;940.63;;;;
88.00;yes;0.10;7.69;7.59;282.92;596.79;;;;
89.00;roof;0.10;12.23;12.13;155.33;523.30;;;;
90.00;yes;0.13;11.18;11.05;1247.81;3829.11;;;;
91.00;yes;0.05;13.17;13.12;40.35;147.03;;;;
92.00;yes;0.10;12.86;12.76;705.45;2500.82;;;;
93.00;yes;0.10;6.95;6.85;176.76;336.15;;;;
94.00;yes;0.10;13.61;13.51;368.95;1384.81;;;;
95.00;yes;0.09;15.14;15.05;150.39;628.86;;;;
96.00;yes;0.09;12.37;12.28;964.25;3288.20;;;;
97.00;yes;2.90;9.77;6.87;238.86;455.67;;;;
98.00;yes;2.57;10.07;7.50;672.60;1401.23;;;;
99.00;yes;3.08;12.00;8.92;127.14;314.87;;;;
100.00;yes;2.55;15.99;13.44;626.06;2337.55;;;;
101.00;yes;3.14;9.13;5.99;301.30;501.38;;;;
102.00;yes;2.52;11.73;9.20;1181.41;3020.71;;;;
103.00;yes;1.49;11.70;10.21;1608.64;4561.29;;;;
104.00;yes;3.07;11.99;8.92;138.58;343.20;;;;
105.00;yes;3.13;12.60;9.47;350.31;921.81;;;;
106.00;yes;5.22;8.77;3.55;122.48;120.78;;;;
107.00;yes;3.47;10.91;7.44;604.22;1248.72;;;;
108.00;yes;4.25;12.00;7.75;420.18;904.28;;;;
109.00;yes;1.91;9.16;7.25;223.53;449.91;;;;
110.00;yes;2.66;9.42;6.76;437.99;821.88;;;;
111.00;yes;2.67;9.00;6.33;324.21;570.32;;;;
112.00;yes;1.36;10.00;8.64;772.40;1854.68;;;;
113.00;yes;2.60;12.16;9.56;383.57;1018.57;;;;
114.00;yes;1.44;9.33;7.89;4750.63;10414.28;;;;
115.00;yes;3.98;11.76;7.77;3002.19;6483.47;;;;
116.00;yes;1.63;9.76;8.13;316.17;714.20;;;;
117.00;yes;1.46;11.30;9.84;315.40;862.31;;;;
118.00;yes;2.69;10.33;7.64;199.72;423.61;;;;
119.00;yes;4.45;10.87;6.42;2047.69;3652.84;;;;
120.00;yes;1.63;7.44;5.81;240.73;388.62;;;;
121.00;yes;2.12;8.94;6.82;869.16;1646.70;;;;
122.00;yes;1.03;13.80;12.77;2988.77;10599.15;;;;
123.00;house;0.84;7.98;7.14;240.05;475.92;;;;
124.00;yes;1.33;10.00;8.67;411.80;991.60;;;;
125.00;yes;3.09;11.99;8.90;310.06;766.76;;;;
126.00;yes;1.38;10.14;8.76;758.86;1846.43;;;;
127.00;yes;5.09;11.06;5.97;624.37;1035.13;;;;
128.00;yes;2.05;9.93;7.88;384.36;841.21;;;;
129.00;yes;3.65;9.93;6.29;100.35;175.25;;;;
130.00;yes;3.24;11.55;8.31;252.91;583.48;;;;
131.00;residential;1.04;25.65;24.62;1134.54;7757.93;;;;
132.00;yes;1.63;9.51;7.87;1284.82;2810.33;;;;
133.00;yes;2.92;11.79;8.87;381.83;940.94;;;;
134.00;yes;1.61;10.49;8.88;176.28;434.76;;;;
135.00;yes;2.82;11.09;8.27;270.18;620.49;;;;
136.00;yes;3.48;12.00;8.52;205.90;487.40;;;;
137.00;yes;3.23;11.66;8.43;1016.15;2380.38;;;;
138.00;yes;4.53;9.43;4.90;1957.79;2665.59;;;;
139.00;yes;2.54;12.89;10.35;295.55;849.51;;;;
140.00;yes;2.88;11.94;9.06;593.34;1493.60;;;;
141.00;yes;5.16;10.89;5.74;443.14;705.96;;;;
142.00;yes;2.48;10.88;8.40;181.06;422.71;;;;
143.00;yes;1.91;9.86;7.95;302.23;667.31;;;;
144.00;yes;2.63;11.95;9.33;601.05;1557.04;;;;
145.00;yes;1.53;8.51;6.98;337.74;655.25;;;;
146.00;yes;2.35;9.24;6.89;654.28;1252.82;;;;
147.00;yes;2.53;10.00;7.47;168.35;349.46;;;;
148.00;yes;2.78;11.84;9.06;280.63;706.47;;;;
149.00;yes;2.53;10.52;7.99;166.37;369.29;;;;
150.00;yes;4.66;13.96;9.31;6654.54;17202.69;;;;
151.00;yes;2.62;13.26;10.64;282.53;834.66;;;;
152.00;yes;2.83;9.21;6.38;445.75;790.49;;;;
153.00;yes;3.06;11.90;8.84;461.05;1131.74;;;;
154.00;yes;1.73;9.31;7.59;352.59;742.96;;;;
155.00;yes;1.93;9.00;7.07;189.05;371.32;;;;
156.00;apartments;2.68;11.99;9.32;435.21;1126.37;;;;
157.00;yes;1.74;10.47;8.73;452.56;1096.91;;;;
158.00;yes;3.33;11.53;8.20;256.93;585.29;;;;
159.00;yes;2.58;12.76;10.18;314.82;889.89;;;;
160.00;yes;0.10;22.41;22.31;116.85;724.15;;;;
161.00;yes;3.44;12.00;8.55;656.03;1558.68;;;;
162.00;yes;3.32;9.55;6.23;688.30;1190.36;;;;
163.00;yes;2.63;10.93;8.30;447.41;1031.22;;;;
164.00;yes;2.83;11.00;8.17;244.12;554.32;;;;
165.00;yes;2.60;8.41;5.82;136.21;220.06;;;;
166.00;apartments;0.32;24.77;24.45;1514.99;10287.96;;;;
167.00;yes;2.48;11.00;8.52;175.45;415.03;;;;
168.00;yes;2.82;10.13;7.31;316.69;643.42;;;;
169.00;yes;3.66;11.69;8.03;256.18;571.64;;;;
170.00;commercial;0.08;25.58;25.50;5220.99;36982.67;;;;
171.00;yes;2.22;11.00;8.78;419.57;1023.01;;;;
172.00;yes;2.79;14.77;11.98;3871.31;12885.33;;;;
173.00;yes;1.66;9.95;8.29;1950.49;4491.77;;;;
174.00;yes;2.93;11.25;8.32;294.22;679.84;;;;
175.00;apartments;0.13;18.49;18.36;3153.92;16084.52;;;;
176.00;yes;2.57;9.25;6.68;354.25;657.39;;;;
177.00;commercial;0.23;36.43;36.21;3082.25;30998.11;;;;
178.00;yes;2.80;13.00;10.20;392.03;1110.49;;;;
179.00;house;0.94;9.17;8.23;340.66;778.33;;;;
180.00;retail;3.50;10.80;7.30;209.58;424.91;;;;
181.00;retail;3.68;11.56;7.88;1161.86;2542.97;;;;
182.00;yes;3.49;7.66;4.17;108.38;125.53;;;;
183.00;commercial;1.82;35.88;34.06;3248.75;30734.52;;;;
184.00;yes;2.62;8.99;6.37;1189.17;2103.46;;;;
185.00;apartments;4.11;10.82;6.71;352.62;657.05;;;;
186.00;yes;0.98;14.35;13.37;6281.17;23321.98;;;;
187.00;university;3.03;18.00;14.97;4818.50;20043.39;;;;
188.00;house;2.58;10.15;7.56;601.39;1263.52;;;;
189.00;retail;2.52;12.90;10.38;2772.28;7992.58;;;;
190.00;commercial;4.57;12.80;8.23;510.51;1166.46;;;;
191.00;yes;1.05;12.99;11.94;452.83;1501.75;;;;
192.00;apartments;0.07;39.17;39.10;1876.41;20382.09;;;;
193.00;school;5.17;13.56;8.39;1400.01;3262.18;;;;
194.00;yes;2.19;9.97;7.78;488.38;1055.56;;;;
195.00;yes;1.34;8.63;7.29;364.75;738.57;;;;
196.00;yes;3.83;11.19;7.36;391.61;800.25;;;;
197.00;yes;2.83;11.08;8.26;257.90;591.65;;;;
198.00;yes;2.58;9.57;6.99;618.50;1201.06;;;;
199.00;house;0.85;7.41;6.56;341.05;621.42;;;;
200.00;house;1.08;10.58;9.50;358.80;946.76;;;;
201.00;yes;3.56;11.69;8.13;305.70;690.79;;;;
202.00;commercial;4.14;13.15;9.02;781.05;1955.96;;;;
203.00;yes;6.26;15.72;9.46;142.74;375.13;;;;
204.00;commercial;3.83;13.44;9.61;1075.49;2872.26;;;;
205.00;yes;4.13;12.40;8.27;1634.93;3754.82;;;;
206.00;house;2.31;15.29;12.98;285.78;1030.14;;;;
207.00;yes;1.27;24.89;23.62;2130.74;13979.72;;;;
208.00;garage;2.12;29.80;27.68;4320.88;33220.42;;;;
209.00;commercial;3.90;11.00;7.10;663.69;1309.02;;;;
210.00;yes;1.94;10.16;8.22;1369.04;3127.54;;;;
211.00;commercial;4.05;10.67;6.62;2448.42;4502.83;;;;
212.00;commercial;4.28;10.57;6.29;464.34;811.07;;;;
213.00;yes;3.34;10.39;7.05;607.46;1190.01;;;;
214.00;yes;5.36;12.69;7.33;475.08;966.98;;;;
215.00;yes;1.36;9.85;8.48;134.65;317.34;;;;
216.00;yes;2.56;67.39;64.83;2100.61;37830.30;;;;
217.00;roof;5.16;14.95;9.79;342.82;932.15;;;;
218.00;retail;3.09;12.70;9.62;148.37;396.27;;;;
219.00;house;1.19;11.20;10.01;254.45;707.75;;;;
220.00;yes;1.23;11.18;9.95;285.62;789.51;;;;
221.00;commercial;3.84;13.74;9.90;659.45;1813.85;;;;
222.00;yes;4.13;11.89;7.76;473.01;1019.90;;;;
223.00;commercial;4.40;10.80;6.40;174.55;310.45;;;;
224.00;yes;3.83;12.00;8.17;2575.46;5841.35;;;;
225.00;yes;3.23;13.00;9.77;2716.63;7374.42;;;;
226.00;yes;3.27;11.63;8.36;2492.70;5788.38;;;;
227.00;yes;1.39;10.00;8.61;150.31;359.42;;;;
228.00;yes;1.04;10.01;8.96;274.12;682.50;;;;
229.00;yes;3.03;11.75;8.72;1593.53;3859.24;;;;
230.00;apartments;2.45;15.00;12.54;619.52;2158.35;;;;
231.00;yes;1.07;12.57;11.51;1613.14;5155.68;;;;
232.00;commercial;2.52;9.26;6.74;77.70;145.53;;;;
233.00;commercial;1.12;12.12;11.00;3110.83;9507.27;;;;
234.00;yes;3.13;10.58;7.45;1064.90;2202.79;;;;
235.00;commercial;4.18;11.00;6.82;908.43;1720.68;;;;
236.00;yes;0.99;6.78;5.79;260.79;419.74;;;;
237.00;yes;1.13;8.50;7.37;287.35;588.21;;;;
238.00;yes;1.03;8.00;6.97;271.42;525.31;;;;
239.00;yes;1.14;5.67;4.54;222.59;280.60;;;;
240.00;retail;1.62;9.22;7.60;343.57;725.32;;;;
241.00;yes;1.00;8.77;7.77;173.53;374.49;;;;
242.00;yes;1.06;7.72;6.65;206.81;382.21;;;;
243.00;yes;3.25;9.34;6.09;1177.49;1992.06;;;;
244.00;yes;1.23;5.34;4.11;227.88;260.16;;;;
245.00;yes;3.97;11.71;7.74;1329.28;2856.42;;;;
246.00;school;4.78;15.09;10.31;512.11;1466.78;;;;
247.00;yes;1.12;8.29;7.17;305.34;608.26;;;;
248.00;yes;1.37;7.15;5.78;260.71;418.39;;;;
249.00;yes;2.12;9.48;7.36;1688.44;3453.26;;;;
250.00;yes;0.78;8.97;8.19;355.95;809.96;;;;
251.00;yes;2.63;14.18;11.55;3127.49;10035.33;;;;
252.00;yes;1.04;9.00;7.96;313.72;693.78;;;;
253.00;yes;4.14;10.86;6.72;122.61;228.78;;;;
254.00;yes;1.28;6.18;4.90;245.03;333.38;;;;
