ID;Population density
0;66210.26236
1;67808.48105
2;44841.65262
3;49919.4914
4;49888.27384
5;65360.98571
6;44626.96955
7;39193.11706
8;39114.27098
9;47393.0886
10;46402.11602
11;47223.1497
12;39256.45546
13;32094.70375
14;62481.06049
15;46836.59305
16;67856.31821
17;27034.25513
18;50060.43759
19;47562.24245
20;43139.99982
21;55256.74106
22;21933.59482
23;56046.59052
24;34245.25816
25;21870.39251
26;31787.93123
27;69614.66176
28;41383.09712
29;64870.73516
30;27452.45715
31;29371.59927
32;23729.72769
33;26365.48763
34;33091.03619
35;9978.995975
36;74512.99991
37;75525.79456
38;61697.82857
39;29090.54913
40;140999.8232
41;13472.18287
42;616.5453554
43;17764.37584
44;11530.47779
45;3346.864048
46;29867.80053
47;12897.42042
48;5185.016179
49;19883.70608
50;58694.20058
51;1831.554557
52;1836.737036
53;68459.43825
54;32114.20744
55;24391.78899
56;805.4716797
57;805.4716797
58;1767.635458
59;29035.32409
60;86818.90875
61;988.9285343
62;58691.19528
63;43762.05529
64;44027.2544
65;73665.22534
66;812.4963236
67;2013.615519
68;19036.03044
69;14479.15771
70;75805.86635
71;44957.94281
72;79732.45919
73;32778.22521
74;805.4716797
75;55518.55802
76;64972.69803
77;64683.33826
78;93592.33084
79;94538.50436
80;97253.09579
81;56606.82434
82;4623.800071
83;32330.20879
84;34342.23154
85;77270.5746
86;56490.13861
87;144.756424
88;3857.799872
89;38891.04932
90;75204.07951
91;80185.56325
92;82212.04238
93;2249.659321
94;40617.11374
95;30429.29667
96;51102.66159
97;36267.38995
98;51775.64016
99;30191.58687
100;41807.81887
101;33772.78524
102;0
103;44683.13927
104;32888.71758
105;52198.98998
106;52548.65805
107;49623.16794
108;49529.94377
109;30439.54975
110;18712.15204
111;44971.86517
112;71093.48135
113;25332.74291
114;43700.59824
115;30299.74693
116;3575.545325
117;24044.13487
118;24455.62975
119;1956.609568
120;96275.8129
121;20375.19768
122;18501.00642
123;20622.29901
124;31943.00127
125;108157.8322
126;31326.32267
127;2784.195455
128;49193.97811
129;65334.62237
130;74165.96696
131;2784.86491
132;38996.22979
133;2245.64474
134;1763.4339
135;54785.7487
136;4205.703967
137;20974.64367
138;20784.18877
139;13475.99611
140;169.3982697
141;75902.11166
142;53592.10949
143;61878.78533
144;29171.85044
145;79121.29419
146;59931.79656
147;75992.27866
148;66676.31849
149;66895.40022
150;48636.40743
151;47768.32498
152;144.756424
153;39647.9735
154;46099.9463
155;66323.18774
156;46790.78152
157;48138.62996
158;47338.65251
159;32267.84841
160;68062.02451
161;20962.33993
162;114339.6234
163;49919.23438
164;48593.10573
165;63007.93707
166;25874.27285
167;44916.00574
168;0
169;144198.2301
170;56557.50353
171;64147.73965
172;42448.48521
173;46719.52401
174;53692.26538
175;33680.11937
176;144.756424
177;42639.06277
178;44083.98481
179;78260.76026
180;1355.084853
181;52827.31696
182;48065.94265
183;18111.16187
184;31755.42604
185;24530.42635
186;47434.22285
187;42830.89811
188;61162.71536
189;57814.55636
190;0
191;63073.96136
192;63393.61567
193;65367.98665
194;252.0767016
195;444.8552246
196;74174.23
197;11464.61406
198;63655.57797
199;32375.08955
200;51839.0456
201;3583.22262
202;61516.63113
203;67006.21068
204;9599.125011
205;6915.52577
206;22877.08547
207;53922.41867
208;80823.3397
209;56721.2512
210;62486.28951
211;31780.91933
212;444.8552246
213;57047.34795
214;57417.25416
215;55862.51812
216;48182.19841
217;58389.0218
218;64265.99473
219;26406.02099
220;33595.44931
221;1504.294726
222;86970.10016
223;77875.16293
224;78535.67632
225;79003.45427
226;94356.50979
227;1476.72624
228;0
229;81905.17761
230;37738.79564
231;3205.162421
232;2252.902751
233;26372.09755
234;46446.9875
235;40060.70275
236;44269.86573
237;63363.11154
238;78614.72616
239;38119.02852
240;3280.436557
241;78920.04685
242;22146.64299
243;38853.3816
244;76680.18367
245;977.6861547
246;978.2538248
247;69950.7379
248;56361.19775
249;978.7348904
250;30028.69335
251;974.9671233
252;39029.08991
253;42861.96201
254;81921.54344
255;75345.72398
256;68015.83042
257;81781.54547
258;58174.57045
259;51259.88747
260;64903.47682
261;66549.58297
262;9310.934487
263;69576.63836
264;978.7609987
265;48281.22201
266;70077.72684
267;60328.85713
268;51778.38331
269;33098.70948
270;31161.36807
271;47787.35423
272;68847.797
273;8570.723337
274;39159.14144
275;972.4511719
276;69554.73472
277;53805.946
278;77737.4347
279;52139.24105
280;52403.13186
281;47990.08873
282;71042.4973
283;4332.268377
284;33126.54605
285;4321.437852
286;53648.64124
287;978.5722427
288;74132.17368
289;0
290;4887.276054
291;83849.87113
292;84227.7784
293;26246.29256
294;46929.92605
295;47792.78377
296;49687.21306
297;3631.39466
298;19995.56913
299;68646.86933
300;70850.16163
301;39250.79626
302;4308.87086
303;54283.88649
304;3927.913521
305;4431.755506
306;644.0625877
307;4107.204914
308;3933.766658
309;2764.672055
310;4761.998803
311;3466.523582
312;35614.2623
313;50485.25537
314;51673.47222
315;32657.08495
316;34783.18922
317;26104.26206
318;13665.93406
319;41436.22721
320;3811.2606
321;29528.81128
322;26292.14601
323;27327.29958
324;34745.61201
325;38032.13474
326;23337.80081
327;36118.11682
328;52748.3816
329;6171.526931
330;30445.94591
331;17023.33976
332;31509.7058
333;61901.20106
334;64846.4661
335;6313.293
336;988.5898492
337;3579.973915
338;59364.84208
339;22654.4413
340;44374.86102
341;22780.74684
342;30529.35071
343;7287.721537
344;29870.76897
345;27649.34518
346;31440.63836
347;20509.80957
348;17582.69023
349;13481.08372
350;14176.04024
351;0
352;5798.419267
353;5035.733268
354;17165.50652
355;6909.76368
356;9033.964763
357;28530.71281
358;1026.507019
359;16785.42503
360;50802.81454
361;31472.29933
362;7351.87376
363;4148.082193
364;32135.59405
365;35572.01327
366;41981.77519
367;7621.707028
368;7802.103907
369;10010.58219
370;26878.17648
371;8624.740467
372;1077.47079
373;813.6497192
374;89284.09595
375;13395.83075
376;14135.89775
377;20340.42453
378;18934.81965
379;31623.59458
380;53483.84198
381;31123.40523
382;3326.503547
383;13991.88225
384;25157.73601
385;53685.37241
386;53505.46554
387;61666.35224
388;55933.10771
389;69202.70895
390;64570.23962
391;68309.60887
392;31641.56415
393;7780.874846
394;8199.520065
395;23009.9186
396;31212.37949
397;35746.27094
398;8722.984913
399;36801.7132
400;24197.25427
401;16032.27998
402;24650.8601
403;24395.07017
404;27686.84658
405;31188.84192
406;73739.36992
407;40275.23131
408;14172.50294
409;95407.82938
410;8623.693936
411;70055.54619
412;31102.87083
413;24916.12968
414;74410.3806
415;33832.35613
416;28521.77764
417;3512.056899
418;23598.99963
419;46481.45071
420;34794.7114
421;32139.53211
422;60517.50955
423;45590.96795
424;64835.54333
425;1386.785712
426;32037.02104
427;21618.64289
428;828.0462661
429;21068.90321
430;49845.79749
431;62007.18456
432;40963.14167
433;138953.039
434;34167.27163
435;0
436;15357.49935
437;48581.19102
438;0
439;1280.291644
440;444.8552246
441;1078.324716
442;65589.73804
443;65256.81447
444;25437.71056
445;28287.60961
446;22082.44638
447;0
448;21685.70862
449;56014.1371
450;38517.80232
451;3249.224994
452;38890.05611
453;63909.89369
454;36354.59922
455;18153.7204
456;6380.62511
457;5836.487789
458;12650.22432
459;35654.34215
460;8603.499699
461;6332.365561
462;93451.6185
463;24870.56516
464;76627.79151
465;23559.86672
466;35746.28264
467;31225.01156
468;12740.51201
469;7460.222681
470;4709.391187
471;78534.02069
472;3896.081761
473;83410.55495
474;0
475;0
476;0
477;82285.31816
478;4851.350272
479;22737.98531
480;66472.00014
481;0
482;144.756424
483;4092.980581
484;835.0029907
485;38056.09991
486;69267.86445
487;77397.79117
488;76691.39127
489;21555.06961
490;29362.25646
491;19828.93191
492;7046.727515
493;1066.390589
494;43264.04502
495;1494.307739
496;41156.90253
497;0
498;1447.171128
499;35420.3233
500;54314.50072
501;17281.78979
502;44535.82572
503;29721.11959
504;15878.17555
505;16943.07473
506;17657.36799
507;47241.43187
508;86578.62422
509;51238.44175
510;53503.71554
511;62010.53995
512;8584.251437
513;8529.313192
514;25607.12568
515;144.756424
516;36680.97358
517;60118.59039
518;51657.37635
519;61098.01044
520;49730.3358
521;57455.17665
522;47532.76736
523;58804.42878
524;2700.542897
525;0
526;178.563446
527;41516.18262
528;51834.325
529;56977.53432
530;45365.53303
531;60119.42448
532;51230.39979
533;26998.12695
534;50119.8122
535;32003.95519
536;37717.4362
537;26970.77275
538;27701.5584
539;23658.90173
540;58461.7741
541;57802.95113
542;60865.2751
543;63617.8379
544;44974.79722
545;59829.9286
546;53623.98891
547;67744.23686
548;80397.77039
549;40206.19757
550;28885.78994
551;41772.89649
552;39515.04588
553;79749.50862
554;49423.41568
555;46720.52799
556;37307.14662
557;47508.09952
558;47304.61042
559;65636.20305
560;41138.46955
561;76499.34402
562;18984.98234
563;67642.28903
564;65591.25631
565;45614.10176
566;43416.64785
567;4240.596569
568;10473.87151
569;66612.8648
570;49285.59269
571;861.1820247
572;20230.32633
573;33537.79002
574;40066.28467
575;43365.00518
576;21550.79217
577;46060.29757
578;52618.54694
579;51426.32128
580;224.0538665
581;37350.73984
582;50697.9343
583;8971.368885
584;4422.532489
585;70874.2102
586;40166.95378
587;46055.31507
588;38274.69172
589;43549.17787
590;34350.08594
591;41747.19208
592;35034.20885
593;50518.51407
594;73967.46082
595;68958.48223
596;33716.09838
597;57119.2268
598;31914.79799
599;13758.41071
600;35100.09718
601;44851.04741
602;45106.64061
603;64589.73131
604;6140.24551
605;1756.063935
606;69475.90924
607;45620.7158
608;52474.93775
609;27369.99359
610;4526.075938
611;62688.282
612;36746.71351
613;37867.18348
614;39215.41587
615;67342.5596
616;1601.870776
617;41059.02239
618;36849.41668
619;0
620;68878.80587
621;39667.70553
622;37377.77858
623;52714.50463
624;41086.30281
625;22393.34361
626;17556.49162
627;71511.56648
628;0
629;52071.45341
630;835.0029907
631;53265.31469
632;32981.68863
633;37572.62157
634;0
635;51987.57522
636;444.8552192
637;12582.38613
638;20141.63711
639;78388.22736
640;42845.27324
641;0
642;43513.48968
643;24255.46141
644;17720.80519
645;18903.81565
646;4509.46376
647;75408.80428
648;35346.04616
649;43706.51868
650;82290.85775
651;4233.798397
652;50695.63048
653;4428.542171
654;15621.97735
655;71625.53471
656;43086.13241
657;47728.78835
658;69887.80587
659;80580.05009
660;14702.02656
661;79305.1359
662;40836.76873
663;37533.25492
664;28008.79318
665;14939.48281
666;13095.8936
667;4061.362462
668;1035.970412
669;14150.55651
670;23050.26569
671;32164.5561
672;34771.16892
673;38387.85321
674;23113.36163
675;44613.14619
676;3717.823833
677;66887.59551
678;41130.6276
679;8595.010016
680;42152.41688
681;61437.71902
682;64579.75267
683;3781.447956
684;40964.80741
685;57817.29353
686;53310.32982
687;55425.30065
688;23654.55469
689;37196.90266
690;60042.29999
691;59604.00426
692;23942.53033
693;30562.1864
694;144.756424
695;39638.66487
696;47894.34493
697;36593.53996
698;37406.77834
699;8506.422852
700;12754.58291
701;15443.60339
702;62853.26769
703;81543.87406
704;79186.79059
705;64998.25946
706;46045.54723
707;38144.60717
708;14817.36675
709;8589.806915
710;89348.63495
711;40901.82978
712;43796.75111
713;63665.05606
714;56023.06037
715;24839.60967
716;34019.15998
717;47474.99743
718;72556.18858
719;59798.32513
720;65229.30327
721;46114.91011
722;66496.13241
723;252.0766907
724;17833.42199
725;62268.66918
726;69271.63593
727;78292.46912
728;1427.5073
729;12479.56259
730;69796.97056
731;33523.09625
732;23620.44217
733;0
734;41991.11953
735;35009.66927
736;23050.1688
737;37707.27797
738;38797.76698
739;1505.908412
740;35714.1245
741;2706.085562
742;65230.41882
743;16315.82467
744;33343.25676
745;34923.51286
746;31830.69909
747;39144.9197
748;94324.56691
749;40973.93816
750;1612.499742
751;873.2687552
752;1865.024809
753;1824.310126
754;869.9076346
755;3204.519535
756;876.5677687
757;70531.2677
758;8582.616191
759;3957.067617
760;1355.787154
761;887.9884386
762;51142.74289
763;871.0467077
764;43817.50342
765;1342.560386
766;66624.45993
767;44318.96909
768;871.5763607
769;875.5374446
770;72374.07939
771;78663.90254
772;937.1103535
773;8610.505324
774;8515.210867
775;0
776;18290.75199
777;883.7396509
778;76143.51471
779;1539.795868
780;937.4606884
781;8612.961512
782;64007.29347
783;54691.21284
784;6235.671529
785;874.5815922
786;36800.15191
787;41533.60778
788;34594.36525
789;67827.94729
790;880.2980392
791;47541.30326
792;8506.422852
793;61935.99229
794;33122.42805
795;58237.55095
796;1515.707915
797;36172.77239
798;52159.7655
799;42326.04342
800;43416.73362
801;29466.96388
802;43202.18483
803;28129.44415
804;36300.10734
805;80973.7608
806;45076.77358
807;51216.59859
808;29972.31582
809;30246.91143
