ID;Population density
0;2831.082888
1;8214.183649
2;3703.020582
3;4075.872297
4;11738.39866
5;3307.752069
6;9202.767987
7;2521.2838
8;3172.731441
9;3865.169684
10;6746.530265
11;5147.337349
12;5187.2675
13;4205.338026
14;8822.727835
15;5506.463632
16;339.4811255
17;3313.822933
18;4773.056864
19;2999.432769
20;1.21520363
21;4323.355498
22;1558.550085
23;2021.073077
24;4177.984722
25;2.596219875
26;4424.845718
27;8230.691786
28;368.4245121
29;6105.016482
30;2568.177666
31;10074.71863
32;223.2557115
33;3680.81204
34;2829.302816
35;2.434429626
36;4222.18834
37;5237.938009
38;0.582154575
39;3479.604089
40;384.7054579
41;3004.21504
42;6698.918065
43;7885.748542
44;7421.732522
45;7788.036707
46;7647.59931
47;7013.369959
48;7797.811075
49;7861.131612
50;6301.514057
51;0
52;3413.686234
53;3384.539499
54;7710.625332
55;7542.541761
56;3925.764709
57;3360.048884
58;7746.051206
59;2668.545848
60;2653.085985
61;639.982225
62;7165.014348
63;3359.929381
64;3140.212644
65;0
66;2694.972238
67;3775.912903
68;2971.093089
69;2905.564894
70;2741.43363
71;3929.575962
72;2910.49567
73;7884.596831
74;2656.227788
75;7199.945949
76;2593.6981
77;5802.557725
78;0
79;3486.066121
80;2991.565527
81;7233.024788
82;0
83;3713.589875
84;3258.327932
85;3163.126509
86;34.66147516
87;140.9423452
88;66.08931963
89;41.38038251
90;46.02523721
91;79.45702209
92;133.497673
93;75.36523751
94;60.72634289
95;67.22277196
96;0
97;4838.422462
98;3895.71324
99;3039.216963
100;4331.154384
101;4822.998081
102;9137.041751
103;3901.734184
104;4018.820408
105;3673.20053
106;3811.430777
107;3691.581545
108;5018.46298
109;3528.737669
110;4494.376861
111;4440.856157
112;4119.072406
113;4726.36089
114;2644.793434
115;9938.230401
116;4336.670805
117;4569.668021
118;2855.820717
119;7886.656006
120;2502.280297
121;4377.772375
122;2247.571225
123;10924.81291
124;8927.377625
125;8955.446164
126;4718.235833
127;11407.36265
128;9272.406655
129;10025.28917
130;11771.07022
131;4727.690096
132;5072.654772
133;11841.52816
134;5082.198955
135;10554.41222
136;4023.886547
137;2846.767157
138;11482.74789
139;7278.690232
140;3652.188189
141;10682.6295
142;11027.46308
143;4649.572598
144;10544.33962
145;5164.7485
146;9998.567526
147;8670.558669
148;3755.866982
149;3415.109013
150;3422.517738
151;5772.800212
152;9989.85374
153;5929.404561
154;5696.629869
155;7906.131966
156;5421.371471
157;10034.48818
158;3545.807564
159;12685.58129
160;10805.19356
161;3215.506562
162;2637.039455
163;5081.244633
164;9452.405207
165;12357.00304
166;10679.16199
167;8998.594684
168;7437.112634
169;12792.04992
170;10316.68108
171;10283.83285
172;2941.327107
173;5298.873059
174;0
175;7841.692549
176;13369.64662
177;5503.702062
178;2074.117781
179;4524.383646
180;3541.86957
181;3190.047293
182;10614.45449
183;2660.05231
184;5874.505893
185;8542.465997
186;5302.000075
187;2416.831668
188;5249.520356
189;2915.842397
190;2676.247779
191;6335.426884
192;3039.928426
193;3918.108001
194;11840.6651
195;4195.818321
196;2674.130709
197;2897.154336
198;1872.658779
199;2331.215049
200;5906.075853
201;2813.402697
202;9416.910586
203;4245.129962
204;3850.205203
205;2595.760573
206;6594.557401
207;9072.948949
208;4222.579761
209;5094.408974
210;3746.967618
211;3118.780759
212;8448.586466
213;5527.483456
214;3545.045024
215;6901.727434
216;2268.124055
217;3918.289896
218;2531.711866
219;3318.941902
220;3287.666327
221;2893.96753
222;3137.322789
223;5008.920468
224;5741.912219
225;5678.438652
226;3560.10519
227;2709.036221
228;5129.577999
229;3901.545291
230;3308.0408
231;4150.643316
232;3316.278884
233;5015.615328
234;4152.700715
235;9825.618068
236;6630.836564
237;6633.457626
238;9964.745066
239;3864.752049
240;9249.772047
241;9056.964706
242;7991.26934
243;9871.20363
244;2915.572671
245;2185.992385
246;9152.775149
247;10173.6038
248;6112.160214
249;9655.480947
250;4332.402984
251;9308.301572
252;3541.724318
253;10093.55128
254;3385.35313
255;3542.596122
256;2535.757667
257;4096.030328
258;2538.317143
259;2576.700341
260;2966.596485
261;3163.728926
262;3169.34869
263;3077.276409
264;9391.864185
265;3345.444382
266;7947.767554
267;3272.940596
268;6391.31785
269;3966.254173
270;3311.556638
271;3354.898308
272;11134.97969
273;6630.125291
274;5608.396532
275;3806.22455
276;3794.727298
277;3085.681087
278;5322.007624
279;2494.275855
280;5596.010421
281;5796.505471
282;3394.432263
283;4880.355066
284;3012.694312
285;9720.058989
286;9120.087849
287;2499.997573
288;5366.477663
289;3997.780115
290;2652.464522
291;2713.377982
292;5108.867849
293;2657.780095
294;2413.24406
295;2416.745443
296;5174.119692
297;4526.184201
298;3344.828666
299;10793.81154
300;3936.417638
301;3794.56099
302;3277.791677
303;3919.158935
304;4915.558437
305;2363.983698
306;2393.471371
307;3144.704321
308;6466.452036
309;7025.572576
310;4076.777417
311;4441.234294
312;4825.919519
313;3688.306319
314;3577.088432
315;2705.134904
316;3974.646482
317;10731.49324
318;7386.088967
319;4162.091127
320;0
321;4005.476356
322;5049.624205
323;5622.408547
324;4499.734042
325;9808.272708
326;2985.468528
327;6613.989039
328;4772.579449
329;4257.894559
330;3912.624416
331;1417.853059
332;4253.537278
333;6076.181461
334;3509.817535
335;6393.869875
336;5386.567155
337;5290.50403
338;4049.143404
339;4958.775711
340;8124.33163
341;4439.368144
342;4913.243053
343;2567.070277
344;9472.478243
345;4826.854617
346;10080.78009
347;3514.545146
348;3746.602421
349;5042.601442
350;11090.44713
351;7053.710532
352;3629.85382
353;10206.56203
354;9463.90872
